RC,UFI,UNI,DLAT,DLONG,LAT,LONG,MGRS,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_,NEWDLAT,NEWDLONG
"3","-2035742","-2827382",11.58472220000,42.26888890000,"113505","421608",38PKT0214282061,KT08,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ILLIOUKA,Illi¯oûka,Illi`ouka,11.57859884000,42.27015977000
"3","-2035740","-2827380",11.90361110000,42.77027780000,"115413","424613",38PKU5713216871,KU51,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ILLIMIYTA,Illimiyta,Illimiyta,11.90436830000,42.76906007000
"3","-2035740","-2827379",11.90361110000,42.77027780000,"115413","424613",38PKU5713216871,KU51,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,ILLIMITA,Illi Mita,Illi Mita,11.89978244000,42.76217086000
"3","-2035734","-2827371",11.71333330000,42.64027780000,"114248","423825",38PKT4278795932,KT49,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ILLALLOU,¯Illallou,`Illallou,11.71734173000,42.64019449000
"3","-2035734","-2827359",11.71333330000,42.64027780000,"114248","423825",38PKT4278795932,KT49,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,ILALOU,Ilalou,Ilalou,11.71433989000,42.63396292000
"3","-2035723","-2827355",11.83694440000,43.07777780000,"115013","430440",38PKU9058709245,KU90,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IKKITA,Ikkita,Ikkita,11.84327181000,43.08177902000
"3","-2035712","-2827342",11.31666670000,42.90000000000,"111900","425400",38PKT7078951819,KT75,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IDLEDJIDJ,Idle Dji£j,Idle Djidj,11.31231547000,42.90368874000
"3","-2035712","-2827341",11.31666670000,42.90000000000,"111900","425400",38PKT7078951819,KT75,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,IDLEDJIDE,Idlé-Djidé,Idle-Djide,11.32057573000,42.90602089000
"3","-2035705","-2827332",12.02583330000,42.30722220000,"120133","421826",38PKU0679530848,KU03,ND38-13,H,WLL,"0",DJ,"5","0","0",,N,,,,IDDEYTA,¯Iddeyta,`Iddeyta,12.02222057000,42.30735066000
"3","-2035704","-2827331",11.68416670000,42.59416670000,"114103","423539",38PKT3773192746,KT39,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IDDEYTA,¯Iddeyta,`Iddeyta,11.67982341000,42.60131232000
"3","-2035705","-2827329",12.02583330000,42.30722220000,"120133","421826",38PKU0679530848,KU03,ND38-13,H,WLL,"0",DJ,"5","0","0",,V,,,,IDDEITA,Iddeïta,Iddeita,12.03228430000,42.31373211000
"3","-2035701","-2827327",11.78277780000,42.73555560000,"114658","424408",38PKU5324003531,KU50,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,IDAWATA,Idâwata,Idawata,11.78400922000,42.74115308000
"3","-2035693","-2827319",11.97972220000,42.20555560000,"115847","421220",38PJU9566625854,JU92,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IDAHIDO,I£âhi£o,Idahido,11.98414341000,42.21226638000
"3","-2035665","-2827286",12.00000000000,42.50000000000,"120000","423000",38PKU2777327790,KU22,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HOULHOULAN,Houlhoulan,Houlhoulan,12.00649640000,42.49348959000
"3","-2035654","-2827274",11.20611110000,42.85888890000,"111222","425132",38PKT6621039620,KT63,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HORRE,orre,Horre,11.20876398000,42.85449534000
"3","-2035646","-2827266",11.72388890000,42.66638890000,"114326","423959",38PKT4564597076,KT49,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HOMOR,omor,Homor,11.72696815000,42.65855419000
"3","-2035645","-2827265",10.94944440000,41.92000000000,"105658","415512",37PHN1917511936,HN11,NC37-08,H,WLL,"0",DJ,"0","0","0",,N,,,,HOMOR,omor,Homor,10.95210182000,41.92330286000
"3","-2035643","-2827263",11.83472220000,42.68000000000,"115005","424048",38PKU4723009329,KU40,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,¯Êla,HOMARELA,omar ¯Ela,Homar `Ela,11.84257176000,42.68205018000
"3","-2036762","-2827262",11.01111110000,42.16055560000,"110040","420938",38PJT8970118678,JT81,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,HOLLOITA,Holloita,Holloita,11.00280993000,42.15272221000
"3","-2035637","-2827251",11.55972220000,42.86000000000,"113335","425136",38PKT6662078744,KT67,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HOLFOF,Holfof,Holfof,11.55988270000,42.85228080000
"3","-2035631","-2827243",11.85472220000,42.34555560000,"115117","422044",38PKU1079011867,KU11,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HODMADI,o£mâ£i,Hodmadi,11.85764004000,42.34846159000
"3","-2035630","-2827242",11.77055560000,42.68583330000,"114614","424109",38PKU4780802223,KU40,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HODMADI,Hodmâdi,Hodmadi,11.77175869000,42.68937313000
"3","-2035627","-2827239",11.48694440000,42.19750000000,"112913","421151",38PJT9424571313,JT97,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HODDA,o££a,Hodda,11.48725307000,42.19585113000
"3","-2035625","-2827235",11.22416670000,42.79666670000,"111327","424748",38PKT5942841668,KT54,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HOCHBARRE,Hôch Barré,Hoch Barre,11.22068085000,42.78885882000
"3","-2035622","-2827232",11.75833330000,42.82694440000,"114530","424937",38PKU6318200747,KU60,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HOBOYHARAK,oboy arak,Hoboy Harak,11.76513954000,42.83098908000
"3","-2035621","-2827230",12.38333330000,42.88333330000,"122300","425300",38PKU6986469855,KU66,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HOBOY,oboy,Hoboy,12.38192432000,42.87993978000
"3","-2035620","-2827229",12.36666670000,42.85000000000,"122200","425100",38PKU6622468040,KU66,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HIYOELA,Hiyo ¯Êla,Hiyo `Ela,12.36557165000,42.84746401000
"3","-2035611","-2827215",11.97555560000,42.81805560000,"115832","424905",38PKU6240124791,KU62,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HIMMISSO,immisso,Himmisso,11.97159596000,42.82165954000
"3","-2035610","-2827214",12.03861110000,43.04833330000,"120219","430254",38PKU8753631579,KU83,ND38-13,H,WLL,"0",DJ,"4","0","0",,N,,,,HIMBOLI,imboli,Himboli,12.03351941000,43.05101283000
"3","-2035606","-2827209",11.15916670000,42.96666670000,"110933","425800",38PKT7794734342,KT73,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HILINSOUBAG,Hilin Soubag,Hilin Soubag,11.16247749000,42.97490521000
"3","-2037121","-2827204",10.98333330000,42.85000000000,"105900","425100",38PKT6506114978,KT61,NC38-05,H,WLL,"0",DJ,"0","0","0",,V,,,,HIGLE,igle,Higle,10.98406680000,42.85011994000
"3","-2035596","-2827196",11.38333330000,42.73333330000,"112300","424400",38PKT5264659332,KT55,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HIDIDDALEY,ididdaley,Hididdaley,11.38257445000,42.73747157000
"3","-2035589","-2827189",12.26277780000,43.09277780000,"121546","430534",38PKU9255056346,KU95,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HEYSITOU,eysitou,Heysitou,12.26849386000,43.09582354000
"3","-2035645","-2827187",10.94944440000,41.92000000000,"105658","415512",37PHN1917511936,HN11,NC37-08,H,WLL,"0",DJ,"0","0","0",,V,,,,HEYMOUR,Heymour,Heymour,10.95243640000,41.92458899000
"3","-2035586","-2827184",12.38333330000,43.13333330000,"122300","430800",38PKU9705569653,KU96,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HERRIYA,erriya,Herriya,12.38303439000,43.12969235000
"3","-2035577","-2827172",11.54666670000,42.12972220000,"113248","420747",38PJT8691077997,JT87,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,Bouyyi,HERAYBOUYYI,eray Bouyyi,Heray Bouyyi,11.54974969000,42.12665277000
"3","-2035571","-2827163",11.80444440000,42.63194440000,"114816","423755",38PKU4196406022,KU40,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HEMALLE,Hêmallé,Hemalle,11.79686816000,42.63559435000
"3","-2035548","-2827135",12.00000000000,42.95000000000,"120000","425700",38PKU7679527385,KU72,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HAYYOU,Hayyou,Hayyou,11.99235102000,42.94700183000
"3","-2035540","-2827126",12.02305560000,43.00138890000,"120123","430005",38PKU8241129895,KU82,ND38-13,H,WLL,"0",DJ,"4","0","0",,N,,,,HAYDOU,aydou,Haydou,12.01905075000,43.00112199000
"3","-2035531","-2827116",12.49166670000,43.27305560000,"122930","431623",38PLU1232881535,LU18,ND38-13,H,WLL,"0",DJ,"4","0","0",,N,,,,HAWIYA,Hâwiya,Hawiya,12.48594729000,43.27730946000
"3","-2033611","-2827108",11.91972220000,42.81027780000,"115511","424837",38PKU6150518619,KU61,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,HASSOU,Hassou,Hassou,11.91543109000,42.80707265000
"3","-2035516","-2827107",11.25000000000,41.90000000000,"111500","415400",37PHN1666345188,HN14,NC37-04,H,WLL,"0",DJ,"0","0","0",,V,,,,HASSIMA,Hassima,Hassima,11.25171654000,41.89268705000
"3","-2035518","-2827099",11.13250000000,42.69972220000,"110757","424159",38PKT4875931605,KT43,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,HASLEY,asley,Hasley,11.13072831000,42.69866848000
"3","-2035516","-2827096",11.25000000000,41.90000000000,"111500","415400",37PHN1666345188,HN14,NC37-04,H,WLL,"0",DJ,"0","0","0",,N,,,,HASIMA,Hâsima,Hasima,11.24216964000,41.89379424000
